"Id","Dx","Hx","Ht"
"Tree_1",17.3,0.5,15
"Tree_1",16.5,1.3,15
"Tree_1",15.7,1.5,15
"Tree_1",14.8,2.5,15
"Tree_1",14,3.5,15
"Tree_1",12.6,4.5,15
"Tree_1",12,5.5,15
"Tree_1",10.7,6.5,15
"Tree_1",9.6,7.5,15
"Tree_1",8.5,8.5,15
"Tree_1",7.3,9.5,15
"Tree_1",6.9,10.5,15
"Tree_1",0,15,15
"Tree_2",21.1,0.5,16.4
"Tree_2",20.3,1.3,16.4
"Tree_2",19.3,1.5,16.4
"Tree_2",18.3,2.5,16.4
"Tree_2",17.3,3.5,16.4
"Tree_2",16.4,4.5,16.4
"Tree_2",14.8,5.5,16.4
"Tree_2",13.9,6.5,16.4
"Tree_2",12.3,7.5,16.4
"Tree_2",11.6,8.5,16.4
"Tree_2",10,9.5,16.4
"Tree_2",9.3,10.5,16.4
"Tree_2",8.5,11.5,16.4
"Tree_2",0,16.4,16.4
"Tree_3",19.1,0.5,16.5
"Tree_3",18.4,1.3,16.5
"Tree_3",17.5,1.5,16.5
"Tree_3",17.1,2.5,16.5
"Tree_3",16.9,3.5,16.5
"Tree_3",15.5,4.5,16.5
"Tree_3",14.8,5.5,16.5
"Tree_3",13.7,6.5,16.5
"Tree_3",13.1,7.5,16.5
"Tree_3",11.5,8.5,16.5
"Tree_3",10.5,9.5,16.5
"Tree_3",9.5,10.5,16.5
"Tree_3",7.9,11.5,16.5
"Tree_3",6.8,12.5,16.5
"Tree_3",0,16.5,16.5
"Tree_4",21.5,0.5,17.2
"Tree_4",20.7,1.3,17.2
"Tree_4",19.8,1.5,17.2
"Tree_4",18.6,2.5,17.2
"Tree_4",17.8,3.5,17.2
"Tree_4",16.5,4.5,17.2
"Tree_4",15.3,5.5,17.2
"Tree_4",14.3,6.5,17.2
"Tree_4",13.3,7.5,17.2
"Tree_4",12.5,8.5,17.2
"Tree_4",11.2,9.5,17.2
"Tree_4",10.4,10.5,17.2
"Tree_4",9.1,11.5,17.2
"Tree_4",8.3,12.5,17.2
"Tree_4",7,13.5,17.2
"Tree_4",5.6,14.5,17.2
"Tree_4",0,17.2,17.2
"Tree_5",29.6,0.5,15.8
"Tree_5",28.9,1.3,15.8
"Tree_5",26.5,1.5,15.8
"Tree_5",25.6,2.5,15.8
"Tree_5",24.1,3.5,15.8
"Tree_5",23.1,4.5,15.8
"Tree_5",21.5,5.5,15.8
"Tree_5",19.9,6.5,15.8
"Tree_5",17.9,7.5,15.8
"Tree_5",15.9,8.5,15.8
"Tree_5",14.1,9.5,15.8
"Tree_5",12.2,10.5,15.8
"Tree_5",10.9,11.5,15.8
"Tree_5",8.4,12.5,15.8
"Tree_5",6.4,13.5,15.8
"Tree_5",0,15.8,15.8
"Tree_6",39.4,0.5,21.6
"Tree_6",39.3,1.3,21.6
"Tree_6",38.3,1.5,21.6
"Tree_6",36.7,2.5,21.6
"Tree_6",35.8,3.5,21.6
"Tree_6",34.3,4.5,21.6
"Tree_6",32.9,5.5,21.6
"Tree_6",31.6,6.5,21.6
"Tree_6",30.3,7.5,21.6
"Tree_6",29.3,8.5,21.6
"Tree_6",28.2,9.5,21.6
"Tree_6",26.2,10.5,21.6
"Tree_6",24.7,11.5,21.6
"Tree_6",22.4,12.5,21.6
"Tree_6",21.4,13.5,21.6
"Tree_6",19.5,14.5,21.6
"Tree_6",18.2,15.5,21.6
"Tree_6",16.2,16.5,21.6
"Tree_6",14.7,17.5,21.6
"Tree_6",12.4,18.5,21.6
"Tree_6",9.2,19.5,21.6
"Tree_6",0,21.6,21.6
"Tree_7",21.4,0.5,15.2
"Tree_7",20.9,1.3,15.2
"Tree_7",20.2,1.5,15.2
"Tree_7",18.7,2.5,15.2
"Tree_7",17.9,3.5,15.2
"Tree_7",16.3,4.5,15.2
"Tree_7",15.6,5.5,15.2
"Tree_7",14.3,6.5,15.2
"Tree_7",12.4,7.5,15.2
"Tree_7",10.9,8.5,15.2
"Tree_7",9.8,9.5,15.2
"Tree_7",9,10.5,15.2
"Tree_7",7.8,11.5,15.2
"Tree_7",5,12.5,15.2
"Tree_7",0,15.2,15.2
"Tree_8",26.2,0.5,18
"Tree_8",26,1.3,18
"Tree_8",24,1.5,18
"Tree_8",23.7,2.5,18
"Tree_8",23,3.5,18
"Tree_8",21.2,4.5,18
